term	arousal
about face	-0.134
learn about	-0.134
crew neck	-0.134
light weight	-0.134
fish sticks	-0.134
pencil in	-0.134
crank out	-0.134
post it	-0.134
think straight	-0.134
get stuck	-0.134
the means	-0.134
float around	-0.134
ip address	-0.134
and crap	-0.134
lame excuse	-0.134
pizza crust	-0.134
pay down	-0.134
green screen	-0.134
half day	-0.134
white rice	-0.134
feed in	-0.134
waiting area	-0.134
or anything	-0.134
pretty much	-0.134
over with	-0.134
you're right	-0.134
sink into	-0.134
drop into	-0.134
go it	-0.134
old style	-0.134
translate into	-0.134
walk off	-0.134
poor women	-0.134
star fruit	-0.134
waffle maker	-0.134
day one	-0.134
time span	-0.136
reading glasses	-0.136
in all	-0.136
head cold	-0.136
second world	-0.136
paper thin	-0.136
at random	-0.136
ring in	-0.136
fade in	-0.136
aluminum foil	-0.136
beacon hill	-0.136
little girl	-0.136
know from	-0.136
know nothing	-0.136
put over	-0.136
come close	-0.136
read for	-0.136
snow globe	-0.136
passion fruit	-0.136
one way	-0.136
ancient history	-0.136
thick hair	-0.136
lunch room	-0.136
tell of	-0.136
get home	-0.136
read you	-0.136
ring finger	-0.136
my goodness	-0.136
wrapping paper	-0.136
no fair	-0.136
mark as	-0.136
flip flops	-0.136
acquired taste	-0.136
on hand	-0.136
large cap	-0.136
stick on	-0.136
truck stop	-0.136
drink in	-0.136
resigned to	-0.136
weed out	-0.136
open for	-0.136
amount to	-0.136
one bit	-0.136
small print	-0.136
ice skate	-0.136
baby up	-0.136
seeing things	-0.136
give off	-0.136
come out	-0.136
green pepper	-0.138
all correct	-0.138
far south	-0.138
adjacent to	-0.138
fall out	-0.138
sick leave	-0.138
you know	-0.138
last thing	-0.138
let one	-0.138
fit together	-0.138
steer clear	-0.138
price range	-0.138
break up	-0.138
several states	-0.138
common cause	-0.138
safe harbor	-0.138
half time	-0.138
no slouch	-0.138
palm springs	-0.138
trend line	-0.138
see into	-0.138
right along	-0.138
lead into	-0.138
fill with	-0.138
no good	-0.138
or two	-0.138
dead center	-0.138
black eye	-0.138
fall flat	-0.138
dead weight	-0.138
soda water	-0.138
world view	-0.138
master plan	-0.138
web site	-0.138
coffee shop	-0.140
copy to	-0.140
end result	-0.140
the middleman	-0.140
long list	-0.140
or somebody	-0.140
fair share	-0.140
bus pass	-0.140
poor people	-0.140
side step	-0.140
in doubt	-0.140
pertaining to	-0.140
inner circle	-0.140
to sea	-0.140
bubble bath	-0.140
read over	-0.140
well informed	-0.140
what's that	-0.140
fourth wall	-0.140
half dozen	-0.140
tax credit	-0.140
background music	-0.140
show over	-0.140
on course	-0.140
wet hair	-0.140
shower head	-0.140
sick of	-0.140
no dice	-0.140
laundry detergent	-0.140
face about	-0.140
by committee	-0.140
bon appetit	-0.140
permanent resident	-0.140
separate from	-0.140
por favor	-0.140
ride me	-0.140
notwithstanding clause	-0.140
voter turnout	-0.140
settle it	-0.140
black book	-0.140
fix on	-0.140
dead air	-0.142
solar system	-0.142
draw up	-0.142
blue cheese	-0.142
sugar bowl	-0.142
fax machine	-0.142
backed by	-0.142
poor countries	-0.142
all told	-0.142
fat chance	-0.142
cool place	-0.142
play down	-0.142
nail down	-0.142
type out	-0.142
buy from	-0.142
tons of	-0.142
granola bar	-0.142
tool box	-0.142
body image	-0.142
come into	-0.142
look alike	-0.142
green party	-0.142
massage therapist	-0.142
swan song	-0.142
black cat	-0.142
paper towels	-0.142
no score	-0.142
profit taking	-0.142
count down	-0.142
male character	-0.142
little brother	-0.142
name tag	-0.142
stay tuned	-0.142
in series	-0.142
collar bone	-0.142
fiscal year	-0.142
local authorities	-0.142
real stuff	-0.142
healthy dose	-0.142
sound off	-0.142
refried beans	-0.142
reflected in	-0.144
in essence	-0.144
buy time	-0.146
pertain to	-0.146
pretend to	-0.146
grocery shop	-0.146
in limbo	-0.146
unsung hero	-0.146
rule book	-0.146
balance sheets	-0.146
call by	-0.146
retail store	-0.146
straight men	-0.146
phone booth	-0.146
bacon grease	-0.146
control room	-0.146
bank account	-0.146
toxic waste	-0.146
pan out	-0.146
run down	-0.146
home field	-0.146
up on	-0.146
open enrollment	-0.146
aw shucks	-0.146
you're welcome	-0.148
at night	-0.148
more than	-0.148
green light	-0.148
well earned	-0.148
long pants	-0.148
right side	-0.148
postal code	-0.148
and yet	-0.148
can't seem	-0.148
baked beans	-0.148
close call	-0.148
straight home	-0.148
but for	-0.148
a goner	-0.148
give in	-0.148
granny smith	-0.148
domain name	-0.148
baby talk	-0.148
hang around	-0.148
leave room	-0.148
large part	-0.148
tight end	-0.148
stick by	-0.148
civil servant	-0.148
passing lane	-0.148
fold in	-0.148
unborn child	-0.148
you wish	-0.148
fossil fuel	-0.148
sugar cookie	-0.148
street name	-0.148
by ourselves	-0.148
tarot card	-0.148
see life	-0.148
lights out	-0.150
sweetie pie	-0.150
social housing	-0.150
light switch	-0.150
rein in	-0.150
dry cleaners	-0.150
bring out	-0.150
back up	-0.150
file with	-0.150
front porch	-0.150
feed back	-0.150
black leather	-0.150
phone line	-0.150
nasal spray	-0.150
easter eggs	-0.150
household name	-0.150
across from	-0.150
at it	-0.150
union jack	-0.150
wish on	-0.150
well known	-0.150
in writing	-0.150
art school	-0.150
wealth of	-0.150
in trust	-0.150
max out	-0.150
opera house	-0.150
read through	-0.150
a pleasure	-0.150
weird out	-0.150
the lot	-0.150
bad person	-0.150
bail out	-0.150
long hours	-0.150
water fountain	-0.150
cloud nine	-0.150
common sense	-0.150
coupon code	-0.150
reason with	-0.150
take note	-0.150
stainless steel	-0.150
light year	-0.150
general counsel	-0.152
advance poll	-0.152
black bear	-0.152
toaster oven	-0.152
in place	-0.152
slot in	-0.152
did good	-0.152
hang in	-0.152
on probation	-0.152
last me	-0.152
even when	-0.152
you think	-0.152
come true	-0.152
can it	-0.152
hair dye	-0.152
street light	-0.152
nice place	-0.152
sad part	-0.152
other side	-0.152
because of	-0.152
care to	-0.152
get well	-0.152
be here	-0.152
old testament	-0.152
any day	-0.152
body shop	-0.152
boarding pass	-0.152
lock out	-0.152
tag line	-0.152
felt like	-0.152
a further	-0.152
water right	-0.152
left turn	-0.152
comply with	-0.152
hush hush	-0.154
platinum blonde	-0.154
recent memory	-0.154
green onion	-0.154
caramel apple	-0.154
lie on	-0.154
ship out	-0.154
named after	-0.154
dog house	-0.154
blond hair	-0.154
save as	-0.154
oil painting	-0.154
one down	-0.154
speak out	-0.154
fail to	-0.154
pull into	-0.154
second period	-0.154
in time	-0.154
dental floss	-0.154
white noise	-0.154
plain english	-0.154
back foot	-0.154
tone in	-0.154
open season	-0.154
rub off	-0.156
in store	-0.156
down fall	-0.156
crap on	-0.156
through with	-0.156
spell check	-0.156
bottled water	-0.156
fall on	-0.156
open ended	-0.156
fairy godmother	-0.156
lean toward	-0.156
home equity	-0.156
lie with	-0.156
need help	-0.156
short while	-0.156
now what	-0.156
along with	-0.156
cold air	-0.156
be after	-0.156
this way	-0.156
second base	-0.156
family friend	-0.156
false starts	-0.156
take that	-0.156
like cats	-0.156
touch up	-0.156
barber shop	-0.156
bona fide	-0.156
old fashioned	-0.156
your honor	-0.156
wrong place	-0.156
blank slate	-0.156
enough said	-0.156
two thirds	-0.156
quest for	-0.156
if so	-0.156
sold out	-0.156
sad fact	-0.156
shut down	-0.156
go out	-0.156
queue up	-0.156
picture book	-0.156
anything else	-0.156
holy water	-0.156
sign out	-0.156
pink slip	-0.156
primary care	-0.156
save that	-0.158
let out	-0.158
end on	-0.158
our lady	-0.158
good luck	-0.158
warm water	-0.158
copy cat	-0.158
honey pot	-0.158
for instance	-0.158
burnt out	-0.158
dijon mustard	-0.158
brain dead	-0.158
inner voice	-0.158
worth it	-0.158
wedding anniversary	-0.158
drying up	-0.158
full service	-0.158
found to	-0.158
game over	-0.158
wedding cake	-0.158
lay off	-0.158
middle school	-0.158
curly hair	-0.158
watered down	-0.158
date from	-0.158
well used	-0.158
customer care	-0.158
golden calf	-0.158
baby sitter	-0.158
far off	-0.158
seeing eye	-0.158
nice girl	-0.158
fruit loops	-0.158
net income	-0.158
quite right	-0.158
body count	-0.158
relating to	-0.158
in color	-0.158
dictionary definition	-0.160
center in	-0.160
green belt	-0.160
yard sale	-0.160
lift off	-0.160
national park	-0.160
bus stop	-0.160
follow suit	-0.160
in conclusion	-0.160
any time	-0.160
dark chocolate	-0.160
bode well	-0.160
tidy up	-0.160
one side	-0.160
meal plan	-0.160
only when	-0.160
wedding gift	-0.160
trust with	-0.160
cat litter	-0.160
big sister	-0.160
pay homage	-0.160
hand off	-0.160
lunch break	-0.162
think about	-0.162
sick person	-0.162
small talk	-0.162
for life	-0.162
fun facts	-0.162
organic food	-0.162
mea culpa	-0.162
have around	-0.162
flat rate	-0.162
family leave	-0.162
mental image	-0.162
hang out	-0.162
shrivel up	-0.162
well over	-0.162
juice box	-0.162
hard candy	-0.162
data point	-0.162
by night	-0.162
food group	-0.162
yield to	-0.162
house husband	-0.162
put towards	-0.162
done deal	-0.162
prior to	-0.162
laid out	-0.162
tippy toes	-0.162
blank check	-0.162
whole time	-0.162
shown to	-0.162
last day	-0.162
eat in	-0.162
cardboard box	-0.162
sign for	-0.162
order in	-0.162
have in	-0.162
leave on	-0.162
bubble wrap	-0.164
cross over	-0.164
take back	-0.164
cheese pizza	-0.164
music box	-0.164
say yes	-0.164
sight of	-0.164
fall off	-0.164
these days	-0.164
bow down	-0.164
past year	-0.164
hair loss	-0.164
wait up	-0.164
if that	-0.164
banana pudding	-0.164
not even	-0.164
be yourself	-0.164
smile on	-0.164
just right	-0.164
sticky note	-0.164
floppy disk	-0.164
condensed milk	-0.164
brush off	-0.164
tip jar	-0.164
back of	-0.164
support level	-0.164
skin tone	-0.164
sinking ship	-0.164
middle name	-0.164
ring true	-0.164
a good	-0.164
no comment	-0.164
fall under	-0.164
little hand	-0.164
cue up	-0.164
minor in	-0.164
fair trial	-0.164
tuna salad	-0.166
fall over	-0.166
de facto	-0.166
sewing machine	-0.166
put out	-0.166
tooth brush	-0.166
ask in	-0.166
fair trade	-0.166
get back	-0.166
four times	-0.166
seem like	-0.166
pinot noir	-0.166
body suit	-0.166
old growth	-0.166
candy bar	-0.166
second hand	-0.166
make of	-0.166
treat with	-0.166
golf cart	-0.166
luxury car	-0.166
dead last	-0.166
all about	-0.166
on sight	-0.166
water main	-0.166
freeze on	-0.166
dipping sauce	-0.166
free hand	-0.166
different than	-0.166
faced with	-0.166
not out	-0.166
find out	-0.166
engagement ring	-0.166
fall short	-0.166
freeze over	-0.166
clear picture	-0.166
bass guitar	-0.168
hi there	-0.168
home address	-0.168
dog it	-0.168
day shift	-0.168
a priori	-0.170
waiting list	-0.170
common good	-0.170
round out	-0.170
red onion	-0.170
sun belt	-0.170
at times	-0.170
say what	-0.170
two dozen	-0.170
chicken strips	-0.170
cozy up	-0.170
print shop	-0.170
all ears	-0.170
pass away	-0.170
poor service	-0.170
be away	-0.170
at bottom	-0.170
rib cage	-0.170
main source	-0.170
breathe in	-0.170
have on	-0.170
close look	-0.170
with us	-0.170
chicken salad	-0.170
cold feet	-0.170
egg salad	-0.170
zero point	-0.170
zero sum	-0.170
hold out	-0.170
retirement home	-0.170
read into	-0.170
united way	-0.170
health card	-0.170
those who	-0.170
open book	-0.170
bear witness	-0.170
so as	-0.170
each week	-0.170
out to	-0.170
short on	-0.170
sales rep	-0.170
chip cookie	-0.172
in for	-0.172
garlic bread	-0.172
last legs	-0.172
shy away	-0.172
chocolate milk	-0.172
well taken	-0.172
take of	-0.172
life cycle	-0.172
raw materials	-0.172
give thanks	-0.172
every time	-0.172
personal data	-0.172
south side	-0.172
yet another	-0.172
to death	-0.172
prep time	-0.172
want out	-0.172
a one	-0.172
talk at	-0.172
go around	-0.172
dry ice	-0.172
long term	-0.172
capital city	-0.172
close on	-0.172
way round	-0.172
love ya	-0.172
gift basket	-0.172
father time	-0.172
family home	-0.172
shave off	-0.172
powder blue	-0.172
know what	-0.172
lean on	-0.172
one percent	-0.172
white out	-0.174
explain away	-0.174
in back	-0.174
medium size	-0.174
in perpetuity	-0.174
water tower	-0.174
bound for	-0.174
sour cream	-0.174
well rounded	-0.174
in turn	-0.174
land with	-0.174
long before	-0.174
half dead	-0.174
cowboy hat	-0.174
daily bread	-0.174
back story	-0.174
caesar salad	-0.174
feel bad	-0.174
cease fire	-0.174
frozen yogurt	-0.174
a treat	-0.174
candy cane	-0.174
old fart	-0.174
corned beef	-0.174
fully grown	-0.174
soul food	-0.174
free pass	-0.174
be together	-0.174
coffee beans	-0.174
dine out	-0.174
brown paper	-0.174
tell me	-0.174
in theory	-0.174
lima beans	-0.174
bundle up	-0.174
insofar as	-0.174
parmesan cheese	-0.174
do a	-0.174
down payment	-0.174
made of	-0.174
that which	-0.174
bag up	-0.174
wrong side	-0.174
string cheese	-0.174
many a	-0.174
sit through	-0.176
do one	-0.176
limited to	-0.176
watch it	-0.176
new town	-0.176
water cooler	-0.176
pass in	-0.176
full price	-0.176
skip over	-0.176
sea moss	-0.176
in tears	-0.176
oh noes	-0.176
in utero	-0.176
reset button	-0.176
whole new	-0.176
fence in	-0.176
ring back	-0.176
bad joke	-0.176
talk to	-0.176
first floor	-0.176
family member	-0.176
small caps	-0.176
swap out	-0.176
bad time	-0.176
asking price	-0.178
legal tender	-0.178
well well	-0.178
face wash	-0.178
radio play	-0.178
single out	-0.178
thanks again	-0.178
uncalled for	-0.178
see out	-0.178
dirt road	-0.178
rose bowl	-0.178
medium term	-0.178
single file	-0.178
mason jar	-0.178
at least	-0.178
shed light	-0.178
fried rice	-0.178
have out	-0.178
at all	-0.178
achilles heel	-0.178
do by	-0.178
like flies	-0.178
look off	-0.178
well adjusted	-0.178
save time	-0.178
be careful	-0.178
rearview mirror	-0.178
zip up	-0.178
cool weather	-0.178
food chain	-0.178
state line	-0.180
had it	-0.180
air miles	-0.180
debt relief	-0.180
facial hair	-0.180
satisfied with	-0.180
home made	-0.180
drawn out	-0.180
put it	-0.180
world map	-0.180
bare bones	-0.180
watch over	-0.180
about to	-0.180
ever after	-0.180
lady bug	-0.180
on purpose	-0.180
mahi mahi	-0.180
chicken nugget	-0.180
read out	-0.180
american cheese	-0.180
become of	-0.180
bloody well	-0.180
blue ribbon	-0.180
tree house	-0.180
oxford comma	-0.180
get at	-0.180
round on	-0.180
top sheet	-0.180
dutch oven	-0.180
sad truth	-0.180
book on	-0.180
internal clock	-0.180
fine dining	-0.180
wheel chair	-0.180
walk by	-0.180
lead with	-0.180
home video	-0.182
past decade	-0.182
for free	-0.182
come home	-0.182
my self	-0.182
corn flakes	-0.182
light green	-0.182
dark brown	-0.182
i figure	-0.182
cape cod	-0.182
of an	-0.182
like so	-0.182
wine glass	-0.182
allow in	-0.182
dark blue	-0.182
consumer goods	-0.182
shaving cream	-0.182
bell pepper	-0.182
no go	-0.182
feel out	-0.182
agree to	-0.182
bunk bed	-0.182
center field	-0.182
retirement plan	-0.184
ice coffee	-0.184
door bell	-0.184
old country	-0.184
bright yellow	-0.184
duck in	-0.184
marinara sauce	-0.184
clock on	-0.184
some one	-0.184
depending on	-0.184
square one	-0.184
do away	-0.184
ground beef	-0.184
what gives	-0.184
good health	-0.184
track suit	-0.184
meditate on	-0.184
fact is	-0.184
fiat money	-0.184
big blue	-0.184
stare down	-0.184
turned out	-0.184
leave office	-0.184
half dollar	-0.184
garlic sauce	-0.184
home in	-0.184
wait around	-0.184
soft skills	-0.184
school age	-0.184
slip away	-0.184
average joe	-0.184
see you	-0.184
intend to	-0.184
hands down	-0.184
hardly a	-0.184
cold turkey	-0.184
every night	-0.184
to-do list	-0.184
own brand	-0.184
no qualms	-0.184
the burbs	-0.184
table top	-0.184
last name	-0.186
past summer	-0.186
set on	-0.186
free up	-0.186
screen protector	-0.186
ancient greek	-0.186
i'd say	-0.186
long hair	-0.186
stage name	-0.186
and that	-0.186
baby blue	-0.186
in unison	-0.186
tail off	-0.186
stand in	-0.186
lady friend	-0.186
prop up	-0.188
bread pudding	-0.188
navy blue	-0.188
figure in	-0.188
free ticket	-0.188
late father	-0.188
from nowhere	-0.188
pepperoni pizza	-0.188
ye olde	-0.188
essential oil	-0.188
soft drink	-0.188
swiss cheese	-0.188
air filter	-0.188
balanced budget	-0.188
wait until	-0.188
a student	-0.188
morning time	-0.188
cool breeze	-0.188
the john	-0.188
there there	-0.188
not especially	-0.188
cool stuff	-0.188
morning star	-0.188
cage in	-0.188
you all	-0.188
center back	-0.188
silver lining	-0.188
fine print	-0.188
peer review	-0.188
something smells	-0.188
garden hose	-0.190
in laws	-0.190
comic strip	-0.190
late husband	-0.190
log on	-0.190
rent out	-0.190
two weeks	-0.190
part with	-0.190
any more	-0.190
oil change	-0.190
meant to	-0.190
let up	-0.190
sunflower seeds	-0.190
to me	-0.190
that's that	-0.190
on file	-0.190
belief system	-0.190
birthday card	-0.190
off chance	-0.190
each year	-0.190
low life	-0.190
recycling bin	-0.190
plot line	-0.190
reach out	-0.190
as though	-0.190
one another	-0.190
itty bitty	-0.190
the end	-0.190
belong with	-0.190
ticket holder	-0.190
book in	-0.190
folding chair	-0.190
knee brace	-0.190
car window	-0.190
studio apartment	-0.190
never mind	-0.190
park avenue	-0.192
ride off	-0.192
code name	-0.192
tail end	-0.192
failed state	-0.192
coffee cake	-0.192
baby face	-0.192
out of	-0.192
bus station	-0.192
spare room	-0.192
level at	-0.192
trust in	-0.192
ease up	-0.192
bad light	-0.192
live off	-0.192
know how	-0.192
or somewhere	-0.192
wine cooler	-0.192
break time	-0.192
corner store	-0.194
power nap	-0.194
living dead	-0.194
draft in	-0.194
fishing boat	-0.194
over easy	-0.194
balanced diet	-0.194
come back	-0.194
turn down	-0.194
back pack	-0.194
go blue	-0.194
see if	-0.194
salad dressing	-0.194
would like	-0.194
picture frame	-0.194
reference point	-0.194
sweet corn	-0.194
water down	-0.194
each other	-0.194
second nature	-0.194
stay on	-0.194
home base	-0.194
first half	-0.194
lost soul	-0.194
put off	-0.194
true nature	-0.194
be had	-0.194
hold off	-0.194
good name	-0.194
little off	-0.194
leading off	-0.194
sad state	-0.194
olive garden	-0.194
thick skin	-0.194
pack in	-0.194
feel good	-0.194
phone bill	-0.194
yellow mustard	-0.194
flat out	-0.194
scotch tape	-0.194
up to	-0.196
or what	-0.196
by hand	-0.196
sim card	-0.196
bible belt	-0.196
sensitive skin	-0.196
road map	-0.196
pipe down	-0.196
for all	-0.196
garbage bag	-0.196
one third	-0.196
in fact	-0.196
dry powder	-0.196
lay back	-0.196
patio furniture	-0.196
stay behind	-0.196
break even	-0.196
middle age	-0.196
now now	-0.196
all right	-0.196
this minute	-0.196
on air	-0.196
house cat	-0.196
butter tart	-0.196
in tune	-0.196
grape jelly	-0.196
strawberry jam	-0.196
shea butter	-0.196
unemployment benefits	-0.196
count out	-0.196
pass as	-0.196
back door	-0.196
pie hole	-0.196
or else	-0.196
zip code	-0.196
tie into	-0.196
storage room	-0.196
roof over	-0.196
upside down	-0.198
tsk tsk	-0.198
gaping hole	-0.198
dirty work	-0.198
ice cube	-0.198
bbq sauce	-0.198
third string	-0.198
true story	-0.198
home team	-0.198
post up	-0.198
this evening	-0.198
dry up	-0.198
great aunt	-0.199
follow on	-0.200
slight trust	-0.200
put down	-0.200
light hearted	-0.200
was to	-0.200
traffic calming	-0.200
bald spot	-0.200
be to	-0.200
pet food	-0.200
so right	-0.200
toilet water	-0.200
fair weather	-0.200
living room	-0.200
boo hoo	-0.200
tape over	-0.200
shades of	-0.200
cover in	-0.200
stop by	-0.200
so that	-0.200
no business	-0.200
be about	-0.200
loose on	-0.200
willy nilly	-0.200
car wash	-0.200
you guys	-0.200
potato chip	-0.200
bill as	-0.200
what with	-0.200
pork belly	-0.200
natural order	-0.200
black cherry	-0.200
country road	-0.200
be due	-0.200
after all	-0.200
worn out	-0.200
both sides	-0.200
front desk	-0.200
art museum	-0.200
green eyes	-0.200
had better	-0.200
fall behind	-0.200
housing stock	-0.200
no longer	-0.200
thus far	-0.200
french fries	-0.200
lap dog	-0.200
stay in	-0.200
fruit punch	-0.202
touch on	-0.202
do without	-0.202
with it	-0.202
paid out	-0.202
phase out	-0.202
stoop to	-0.202
one quarter	-0.202
sick people	-0.202
free entry	-0.202
no question	-0.202
back burner	-0.202
bread crumbs	-0.202
play up	-0.202
stepping down	-0.202
get better	-0.202
base on	-0.202
call in	-0.204
account name	-0.204
from afar	-0.204
great uncle	-0.204
black tie	-0.204
home stand	-0.204
stretch out	-0.204
on foot	-0.204
past week	-0.204
rainy day	-0.204
no chance	-0.204
near to	-0.204
read off	-0.204
eye doctor	-0.204
nothing but	-0.204
glass bottle	-0.204
state college	-0.204
on line	-0.204
smooth sailing	-0.204
off label	-0.204
lock on	-0.204
by himself	-0.204
stick to	-0.204
sea salt	-0.204
blue jeans	-0.204
cold snap	-0.204
gym clothes	-0.204
look for	-0.204
poverty level	-0.204
suit to	-0.204
at that	-0.204
hotel lobby	-0.204
fish fry	-0.206
end user	-0.206
best boy	-0.206
even up	-0.206
dress shirt	-0.206
stand down	-0.206
what all	-0.206
either way	-0.206
have it	-0.206
tax system	-0.206
for certain	-0.206
long weekend	-0.206
wait in	-0.206
love letter	-0.206
flat screen	-0.206
coffee mug	-0.206
toe nail	-0.206
tread lightly	-0.206
black pudding	-0.206
held that	-0.206
just about	-0.206
two piece	-0.206
laid up	-0.206
enter for	-0.206
here goes	-0.206
flat iron	-0.206
be in	-0.206
the whole	-0.206
sliced bread	-0.206
in sight	-0.206
break room	-0.206
at once	-0.206
desk chair	-0.208
medium rare	-0.208
do good	-0.208
how so	-0.208
art gallery	-0.208
found out	-0.208
cold weather	-0.208
tip top	-0.208
royal blue	-0.208
puff piece	-0.208
treading water	-0.208
add in	-0.208
air ball	-0.208
smart thing	-0.208
cash cow	-0.208
half moon	-0.208
base hit	-0.208
and now	-0.208
by nature	-0.208
april fool	-0.208
rare earth	-0.210
fat lady	-0.210
no doubt	-0.210
be down	-0.210
have room	-0.210
neutral zone	-0.210
bogged down	-0.210
why not	-0.210
mind out	-0.210
chocolate chip	-0.210
fat cats	-0.210
think so	-0.210
on vacation	-0.210
last out	-0.210
potato salad	-0.212
middle aged	-0.212
ease into	-0.212
close range	-0.212
kindred spirit	-0.212
certainly not	-0.212
front yard	-0.212
red tape	-0.212
hold it	-0.212
sit up	-0.212
latch on	-0.212
in terms	-0.212
every one	-0.212
call back	-0.212
have access	-0.212
refer to	-0.212
past month	-0.212
go down	-0.212
moon on	-0.212
make like	-0.212
green card	-0.212
real question	-0.214
good enough	-0.214
good guy	-0.214
instruction manual	-0.214
cream pie	-0.214
car parts	-0.214
make love	-0.214
dog food	-0.214
melted cheese	-0.214
cough syrup	-0.214
diet soda	-0.214
my pleasure	-0.214
in order	-0.214
by design	-0.214
dark hair	-0.214
clear out	-0.214
though but	-0.214
center on	-0.214
the loo	-0.214
wait till	-0.214
and whatnot	-0.214
natural history	-0.214
have at	-0.214
father figure	-0.214
palm sunday	-0.214
me time	-0.216
short ribs	-0.216
vanilla bean	-0.216
go before	-0.216
no-fly list	-0.216
baked chicken	-0.216
wishy washy	-0.216
just off	-0.216
in secret	-0.216
lunch box	-0.216
in phase	-0.216
lego set	-0.216
and everything	-0.216
care home	-0.216
key factor	-0.216
carbon tax	-0.216
per se	-0.216
scale back	-0.216
stone cold	-0.216
look over	-0.216
mother's day	-0.216
gift card	-0.216
ought to	-0.216
part of	-0.218
feel free	-0.218
go back	-0.218
grace period	-0.218
fill in	-0.218
diaper bag	-0.218
stay down	-0.218
hospital bed	-0.218
short term	-0.218
chow mein	-0.218
first thing	-0.218
sourdough bread	-0.218
coffee cup	-0.218
for days	-0.218
glove box	-0.218
maple syrup	-0.218
tartar sauce	-0.218
say goodbye	-0.218
family room	-0.218
pale ale	-0.218
on paper	-0.218
kind regards	-0.218
here lies	-0.218
salad bar	-0.218
make peace	-0.218
given name	-0.218
little old	-0.218
human being	-0.218
remind of	-0.220
suppose to	-0.220
go figure	-0.220
have got	-0.220
low prices	-0.220
reflect on	-0.220
chocolate cake	-0.220
stuff it	-0.220
false hope	-0.220
office space	-0.220
you see	-0.220
make room	-0.220
pajama pants	-0.220
safe bet	-0.220
end with	-0.220
mountain time	-0.220
aside from	-0.220
do so	-0.220
two cents	-0.220
loose change	-0.220
feel like	-0.220
olive green	-0.220
septic tank	-0.220
fixed income	-0.220
dry cleaning	-0.220
down pat	-0.220
eye drops	-0.220
a while	-0.222
to do	-0.222
in part	-0.222
very well	-0.222
blue eyes	-0.222
car door	-0.222
say no	-0.222
back pocket	-0.222
stem from	-0.222
save for	-0.222
lawn chair	-0.222
close out	-0.222
power off	-0.222
in case	-0.222
stand around	-0.222
soft on	-0.222
old days	-0.222
beyond words	-0.224
left out	-0.224
living standards	-0.224
old boy	-0.224
mobile number	-0.224
have breakfast	-0.224
ash tray	-0.224
done good	-0.224
long way	-0.224
second floor	-0.224
square root	-0.224
free will	-0.224
take solace	-0.224
send on	-0.224
of yore	-0.224
room in	-0.224
sunny side	-0.224
next to	-0.224
fat cat	-0.224
straight line	-0.224
white lotus	-0.224
middle class	-0.226
key words	-0.226
done in	-0.226
vanity fair	-0.226
step off	-0.226
inside of	-0.226
oatmeal cookies	-0.226
eastern time	-0.226
would say	-0.226
clear up	-0.226
grade school	-0.226
of color	-0.226
age limit	-0.226
light breeze	-0.226
no cover	-0.226
have dinner	-0.226
savings account	-0.226
in office	-0.226
nose ring	-0.226
hotel room	-0.226
free gift	-0.226
pension fund	-0.226
much less	-0.226
even tho	-0.228
cool cat	-0.228
consent form	-0.228
kitchen table	-0.228
per capita	-0.228
low risk	-0.228
old guard	-0.228
set piece	-0.228
see after	-0.228
living space	-0.228
just any	-0.228
solid food	-0.228
the can	-0.228
onion soup	-0.228
egg roll	-0.228
butternut squash	-0.228
noodle soup	-0.228
sweet tea	-0.228
cheese dip	-0.228
as such	-0.228
spaced out	-0.228
half hour	-0.230
stay put	-0.230
over here	-0.230
guest room	-0.230
chewing gum	-0.230
small cap	-0.230
come down	-0.230
street view	-0.230
garlic butter	-0.230
what's more	-0.230
chicken broth	-0.230
at noon	-0.230
anything but	-0.230
native land	-0.230
black bean	-0.230
good going	-0.230
band aid	-0.230
not guilty	-0.230
tortilla soup	-0.230
anywhere else	-0.230
long for	-0.230
late afternoon	-0.230
back yard	-0.230
pin on	-0.230
small stuff	-0.230
green onions	-0.230
the usual	-0.230
nice man	-0.232
car seat	-0.232
potato soup	-0.232
in truth	-0.232
clean air	-0.232
lie in	-0.232
instead of	-0.232
on ice	-0.232
on loan	-0.232
sad face	-0.232
as much	-0.232
air duct	-0.232
free choice	-0.234
known to	-0.234
baby teeth	-0.234
first up	-0.234
your lip	-0.234
no avail	-0.234
first off	-0.234
free time	-0.234
pet name	-0.234
equal to	-0.234
good example	-0.234
inner self	-0.234
water can	-0.234
lunch time	-0.234
a sec	-0.234
real name	-0.234
nowhere near	-0.234
dead asleep	-0.234
fresh out	-0.234
door knob	-0.234
smooth out	-0.234
at bay	-0.234
later on	-0.234
best regards	-0.234
not only	-0.234
kids meal	-0.234
step stool	-0.234
wash off	-0.236
kind of	-0.236
rice pudding	-0.236
parking lot	-0.236
no sentiment	-0.236
good thing	-0.236
that's cool	-0.236
hanging out	-0.236
go home	-0.236
bye week	-0.236
support system	-0.236
of a	-0.238
try for	-0.238
even now	-0.238
a mere	-0.238
tax return	-0.238
second home	-0.238
by now	-0.238
fat man	-0.238
before long	-0.238
lemon juice	-0.238
send back	-0.238
with child	-0.238
void of	-0.238
new face	-0.238
with me	-0.238
fair amount	-0.238
tea tree	-0.238
new era	-0.238
inner city	-0.238
leave out	-0.238
onion rings	-0.238
one up	-0.238
round table	-0.238
dining hall	-0.238
face down	-0.238
book review	-0.240
